Age,YOS,entry_age,start_sal,salary_increase,Salary,RemainingProb,DC_EEContrib,DC_ERContrib,DC_Contrib,DC_balance,RealDC_balance,RealPenWealth,RealHybridWealth,PVPenWealth
44,17,27,29138,0.03388428766531768,64342.1680943908,0.24106212391526796,4503.951766607356,4503.951766607356,9007.903533214712,138055254468.76828,94575045141.68228,64921.66343110196,94575110063.34572,64921.66343110196
45,18,27,29138,0.0325,66522.35662711137,0.2327235763549536,4656.564963897796,4656.564963897796,9313.129927795591,147719131289.4856,98968512931.5242,69912.49531931148,98968582844.01952,69912.49531931148
46,19,27,29138,0.0325,68684.33321749249,0.2254360683779598,4807.903325224474,4807.903325224474,9615.806650448949,158059479792.87952,103566078314.249,75031.94062075831,103566153346.18962,75031.94062075831
47,20,27,29138,0.03,70916.57404706097,0.21890215660930482,4964.160183294269,4964.160183294269,9928.320366588538,169123652994.18774,108377222588.61417,80277.37055012025,108377302865.98471,80277.37055012025
48,21,27,29138,0.03,73044.0712684728,0.213177238497983,5113.084988793097,5113.084988793097,10226.169977586194,180962318632.10126,113411867513.00575,85651.31653877653,113411953164.3223,85651.31653877653
49,22,27,29138,0.03,75235.393406527,0.20814643731139731,5266.47753845689,5266.47753845689,10532.95507691378,193629691162.51834,118680395743.5835,91146.57704798238,118680486890.16054,91146.57704798238
50,23,27,29138,0.03,77492.45520872281,0.20382353234829217,5424.471864610597,5424.471864610597,10848.943729221193,207183780076.8497,124193672275.34607,96765.4435724281,124193769040.78964,96765.4435724281
51,24,27,29138,0.03,79817.2288649845,0.2000544851076033,5587.206020548915,5587.206020548915,11174.41204109783,221686655531.1729,129963066834.11356,102510.2484040753,129963169344.36195,102510.2484040753
52,25,27,29138,0.03,82211.74573093404,0.19665521575251638,5754.822201165383,5754.822201165383,11509.644402330767,237204732592.7671,136000477323.68073,108383.36534197738,136000585707.04607,108383.36534197738
53,26,27,29138,0.03,84678.09810286206,0.19367369747247348,5927.4668672003445,5927.4668672003445,11854.933734400689,253809075383.9052,142318354362.20193,120726.52344090446,142318475088.72537,120726.52344090446
54,27,27,29138,0.03,87218.44104594793,0.1910815129922962,6105.290873216355,6105.290873216355,12210.58174643271,271575722515.71234,148929726958.40848,141063.37008407596,148929868021.77856,141063.37008407596
55,28,27,29138,0.03,89834.99427732636,0.1888635476806727,6288.449599412846,6288.449599412846,12576.899198825691,290586035302.3939,155848229380.60855,171761.47238815983,155848401142.08093,171761.47238815983
56,29,27,29138,0.03,92530.04410564616,0.1868180473161765,6477.103087395231,6477.103087395231,12954.206174790463,310927070350.4607,163088129273.8802,208713.84897608502,163088337987.72916,208713.84897608502
57,30,27,29138,0.03,95305.94542881554,0.1849815189391958,6671.416180017089,6671.416180017089,13342.832360034177,332691978229.19916,170664357083.4422,253141.3682391649,170664610224.81042,253141.3682391649
58,31,27,29138,0.03,98165.12379168002,0.18325553544722506,6871.558665417602,6871.558665417602,13743.117330835204,355980430048.07544,178592536844.88052,306488.03210383747,178592843332.91263,306488.03210383747
59,32,27,29138,0.03,101110.07750543041,0.1816372841372548,7077.70542538013,7077.70542538013,14155.41085076026,380899073894.55804,186889018404.72794,342098.38059241243,186889360503.10852,342098.38059241243
60,33,27,29138,0.03,104143.37983059333,0.14530982730980385,7290.036588141534,7290.036588141534,14580.073176283067,407562023222.58795,195570911137.84274,351739.2865122359,195571262877.12924,351739.2865122359
61,34,27,29138,0.03,107267.68122551113,0.11624786184784308,7508.73768578578,7508.73768578578,15017.47537157156,436091379428.2423,204656119231.121,361267.09736929834,204656480498.21838,361267.09736929834
62,35,27,29138,0.03,110485.71166227646,0.09299828947827447,7733.999816359353,7733.999816359353,15467.999632718705,466617791005.69464,214163378606.30493,370512.742894362,214163749119.04782,370512.742894362
63,36,27,29138,0.03,113800.28301214476,0.07439863158261958,7966.0198108501345,7966.0198108501345,15932.039621700269,499281051844.09296,224112295558.0321,379362.1417130508,224112674920.17383,379362.1417130508
64,37,27,29138,0.03,117214.2915025091,0.05951890526609567,8205.000405175639,8205.000405175639,16410.000810351277,534230741405.2191,234523387186.80615,387759.2306265773,234523774946.03677,387759.2306265773
65,38,27,29138,0.03,120730.7202475844,0.04761512421287654,8451.150417330908,8451.150417330908,16902.300834661815,571626909713.5853,245418123710.27182,395642.1487552415,245418519352.42056,395642.1487552415
66,39,27,29138,0.03,124352.64185501193,0.030949830738369752,8704.684929850835,8704.684929850835,17409.36985970167,611640810295.8372,256818972740.0502,403245.3520849034,256819375985.40228,403245.3520849034
67,40,27,29138,0.03,128083.22111066227,0.023640807743125266,8965.825477746359,8965.825477746359,17931.650955492718,654455684425.9156,268749445615.44437,410423.2938885971,268749856038.73825,410423.2938885971
68,41,27,29138,0.03,131925.71774398215,0.0180578625929135,9234.800242078752,9234.800242078752,18469.600484157505,700267600267.3807,281234145889.56647,416973.27398767107,281234562862.84045,416973.27398767107
69,42,27,29138,0.03,135883.48927630164,0.01404334247367256,9511.844249341115,9511.844249341115,19023.68849868223,749286350755.6979,294298820067.87665,422815.28061740036,294299242883.1573,422815.28061740036
70,43,27,29138,0.03,139959.99395459067,0.011234673978938048,9797.199576821347,9797.199576821347,19594.399153642695,801736414332.2853,307970410703.7685,427860.7496232449,307970838564.5181,427860.7496232449
71,44,27,29138,0.03,144158.7937732284,0.008987739183150437,10091.115564125988,10091.115564125988,20182.231128251977,857857982929.9445,322277111960.69855,432610.1514293829,322277544570.85,432610.1514293829
72,45,27,29138,0.03,148483.55758642528,0.007190191346520349,10393.849031049771,10393.849031049771,20787.698062099542,917908061917.2717,337248427755.4406,436860.09327374626,337248864615.5339,436860.09327374626
73,46,27,29138,0.03,152938.06431401803,0.005752153077216279,10705.664501981264,10705.664501981264,21411.329003962528,982161647039.179,352915232602.37244,440255.4936411954,352915672857.8661,440255.4936411954
74,47,27,29138,0.03,157526.20624343856,0.0046017224617730225,11026.8344370407,11026.8344370407,22053.6688740814,1050912983743.2505,369309835284.2682,442689.244197148,369310277973.5124,442689.244197148
75,48,27,29138,0.03,162251.99243074172,0.0036813779694184175,11357.639470151922,11357.639470151922,22715.278940303844,1124476914658.947,386466045480.9049,444041.5285297439,386466489522.4334,444041.5285297439
76,49,27,29138,0.03,167119.55220366397,0,11698.36865425648,11698.36865425648,23396.73730851296,1203190321400.3525,404419243492.8831,445321.89771237556,404419688814.7808,445321.89771237556
77,50,27,29138,0.03,172133.1387697739,0,12049.319713884175,12049.319713884175,24098.63942776835,1287413667295.1145,423206453204.4527,446166.99749824055,423206899371.4502,446166.99749824055
78,51,27,29138,0.03,177297.13293286713,0,12410.7993053007,12410.7993053007,24821.5986106014,1377532648104.412,442866418435.8101,445927.1847899983,442866864362.99493,445927.1847899983
79,52,27,29138,0.03,182616.04692085314,0,12783.123284459722,12783.123284459722,25566.246568919443,1473959958293.3196,463439682842.3225,444455.6575051253,463440127297.98004,444455.6575051253
80,53,27,29138,0.03,188094.52832847874,0,13166.616982993513,13166.616982993513,26333.233965987027,1577137180940.0986,484968673525.45294,441585.6146918374,484969115111.0676,441585.6146918374
