entry_age,Age,YOS,RealPenWealth
20,110,90,418024.10169931105
20,111,91,428200.92350968736
20,112,92,438574.0897648527
20,113,93,449147.1234920557
20,114,94,459923.6092075849
20,115,95,470907.1939778972
20,116,96,482101.5884989715
20,117,97,493510.56819419994
20,118,98,505137.9743311341
20,119,99,516987.71515741147
20,120,100,529063.7670561866
22,22,0,0
22,23,1,2091.4327628361857
22,24,2,4380.6450588158305
22,25,3,6850.601646784674
22,26,4,9446.166315932052
22,27,5,12154.86113583778
22,28,6,14974.299672456995
22,29,7,17901.619970529337
22,30,8,20937.11537924671
22,31,9,24077.227327951245
22,32,10,27324.76259516195
22,33,11,30675.662954244413
22,34,12,34132.5027544615
22,35,13,37690.74569063423
22,36,14,41349.49063826968
22,37,15,45110.98503804683
22,38,16,48974.18962811316
22,39,17,52941.30155763655
22,40,18,57011.146999868215
22,41,19,61185.8720945102
22,42,20,65463.33316086922
22,43,21,69845.5944909695
22,44,22,74326.78348675645
22,45,23,78908.76878044012
22,46,24,83593.45227295054
22,47,25,88382.76971277109
22,48,26,93278.6912847473
22,49,27,98283.22220904335
22,50,28,103398.40335041961
22,51,29,120773.60227976694
22,52,30,146303.30944437167
22,53,31,176910.198742712
22,54,32,213568.2906468629
22,55,33,257430.81137269503
22,56,34,309870.1662705853
22,57,35,318730.84007432294
22,58,36,327380.1021167179
22,59,37,335783.3646127783
22,60,38,343902.5287727735
22,61,39,351919.98974494473
22,62,40,359677.8471304913
22,63,41,367071.3097907692
22,64,42,374050.4050821698
22,65,43,380560.0650008538
22,66,44,386818.5109598138
22,67,45,392692.03541108896
22,68,46,397995.7337472987
22,69,47,402658.46040430875
22,70,48,406601.57393094455
22,71,49,410283.28080837964
22,72,50,413517.71694474167
22,73,51,415982.75399969093
22,74,52,417583.15118127887
22,75,53,418212.5618513161
22,76,54,418784.899895091
22,77,55,418969.61366674816
22,78,56,418180.51992985996
22,79,57,416287.15420518053
22,80,58,413141.6422835576
22,81,59,410561.4479715207
22,82,60,407802.8483906476
22,83,61,403924.80934583157
22,84,62,398747.6102881498
22,85,63,392062.70347031666
22,86,64,386855.1881816912
22,87,65,392873.1462929374
22,88,66,404129.15265599027
22,89,67,415611.04677648563
22,90,68,427322.9385341726
22,91,69,439269.00993752544
22,92,70,451453.5163713391
22,93,71,463880.7878657728
22,94,72,476555.2303872116
22,95,73,489481.3271513169
22,96,74,502663.63995864935
22,97,75,516106.81055324886
22,98,76,529815.562004567
22,99,77,543794.7001131523
22,100,78,558049.114840493
22,101,79,572583.7817634351
22,102,80,587403.7635535959
22,103,81,602514.2114821987
22,104,82,617920.3669507693
22,105,83,633627.5630481342
22,106,84,649641.2261341723
22,107,85,665966.8774507801
22,108,86,682610.1347605137
22,109,87,699576.714013387
22,110,88,716872.4310423034
22,111,89,734503.2032876161
22,112,90,752475.0515513137
22,113,91,770794.1017813403
22,114,92,789466.5868865664
22,115,93,808498.8485829352
22,116,94,827897.3392713206
22,117,95,847668.6239476382
22,118,96,867819.3821457628
22,119,97,888356.4099138175
22,120,98,909286.6218244004
27,27,0,0
27,28,1,2564.713936430318
27,29,2,5371.963962955082
27,30,3,8400.859845293206
27,31,4,11583.788313355002
27,32,5,14905.447741090074
27,33,6,18362.911655908923
27,34,7,21952.670455842926
27,35,8,25675.083873594987
27,36,9,29525.788051085532
27,37,10,33508.22492731067
27,38,11,37617.41791847034
27,39,12,41856.52393668193
27,40,13,46219.980132725905
27,41,14,50706.68146197138
27,42,15,55319.38395011188
27,43,16,60056.813155336946
27,44,17,64921.66343110196
27,45,18,69912.49531931148
27,46,19,75031.94062075831
27,47,20,80277.37055012025
27,48,21,85651.31653877653
27,49,22,91146.57704798238
27,50,23,96765.4435724281
27,51,24,102510.2484040753
27,52,25,108383.36534197738
27,53,26,120726.52344090446
27,54,27,141063.37008407596
27,55,28,171761.47238815983
27,56,29,208713.84897608502
27,57,30,253141.3682391649
27,58,31,306488.03210383747
27,59,32,342098.38059241243
27,60,33,351739.2865122359
27,61,34,361267.09736929834
27,62,35,370512.742894362
27,63,36,379362.1417130508
27,64,37,387759.2306265773
27,65,38,395642.1487552415
27,66,39,403245.3520849034
27,67,40,410423.2938885971
27,68,41,416973.27398767107
27,69,42,422815.28061740036
27,70,43,427860.7496232449
27,71,44,432610.1514293829
27,72,45,436860.09327374626
27,73,46,440255.4936411954
27,74,47,442689.244197148
27,75,48,444041.5285297439
27,76,49,445321.89771237556
27,77,50,446166.99749824055
27,78,51,445927.1847899983
27,79,52,444455.6575051253
27,80,53,441585.6146918374
27,81,54,439340.49482438044
27,82,55,436897.73631664726
27,83,56,433209.4686985561
27,84,57,428073.6191837351
27,85,58,421254.90395959665
27,86,59,416097.73327582126
27,87,60,416747.1999745878
27,88,61,429237.96805019455
27,89,62,441981.81657265284
27,90,63,454983.36527102947
27,91,64,468247.31505517394
27,92,65,481778.4494206305
27,93,66,495581.63587770856
27,94,67,509661.82740512723
27,95,68,524024.0639286525
27,96,69,538673.4738251591
27,97,70,553615.275452551
27,98,71,568854.7787059834
27,99,72,584397.3866008399
27,100,73,600248.5968829198
27,101,74,616414.0036663065
